# Version 1.00
#
# Ref Impedances: Z01: 50
# 
freq[Hz];mag:Smith_S11[U];ang:Smith_S11[°];Magnitude_S11[dB];Phase_S11[°];
1.586000000000000E+08;7.041094765378301E-01;9.059555241673337E+00;-3.047196210343002E+00;9.059555241673337E+00;
1.592000000000000E+08;6.941754938302479E-01;4.517676287174041E+00;-3.170614441991486E+00;4.517676287174041E+00;
1.598000000000000E+08;6.830633073007286E-01;-7.903615888397461E-03;-3.310780868177876E+00;-7.903615888397461E-03;
1.604000000000000E+08;6.705245534311753E-01;-4.489070535318139E+00;-3.471706288404812E+00;-4.489070535318139E+00;
1.610000000000000E+08;6.570465026844445E-01;-8.830738619143286E+00;-3.648077840325032E+00;-8.830738619143286E+00;
1.616000000000000E+08;6.436189756685036E-01;-1.307148209125161E+01;-3.827423203621870E+00;-1.307148209125161E+01;
1.622000000000000E+08;6.298206764473835E-01;-1.718474779954520E+01;-4.015661719349765E+00;-1.718474779954520E+01;
1.628000000000000E+08;6.155919095069943E-01;-2.118067233970428E+01;-4.214141931442675E+00;-2.118067233970428E+01;
1.634000000000000E+08;6.011160066097555E-01;-2.497640866016182E+01;-4.420834148338991E+00;-2.497640866016182E+01;
1.640000000000000E+08;5.874197906982299E-01;-2.852937468430173E+01;-4.621028515942744E+00;-2.852937468430173E+01;
1.646000000000000E+08;5.753301037048930E-01;-3.187821511054745E+01;-4.801658025108866E+00;-3.187821511054745E+01;
1.652000000000000E+08;5.651032703671071E-01;-3.504029504745261E+01;-4.957443586893614E+00;-3.504029504745261E+01;
1.658000000000000E+08;5.571619569972459E-01;-3.805994771772727E+01;-5.080370897015128E+00;-3.805994771772727E+01;
1.664000000000000E+08;5.524910101768584E-01;-4.100794800682126E+01;-5.153495683620735E+00;-4.100794800682126E+01;
1.670000000000000E+08;5.509729781870950E-01;-4.411478612087988E+01;-5.177394001621502E+00;-4.411478612087988E+01;
1.676000000000000E+08;5.506272104076555E-01;-4.753196478698033E+01;-5.182846616648863E+00;-4.753196478698033E+01;
1.682000000000000E+08;5.500553922937363E-01;-5.101660298268782E+01;-5.191871469890276E+00;-5.101660298268782E+01;
1.688000000000000E+08;5.498789553401010E-01;-5.462297690431319E+01;-5.194658021512732E+00;-5.462297690431319E+01;
1.694000000000000E+08;5.491160879810404E-01;-5.835986221004163E+01;-5.206716643239579E+00;-5.835986221004163E+01;
1.700000000000000E+08;5.477731528596074E-01;-6.214504893559474E+01;-5.227985138999625E+00;-6.214504893559474E+01;
1.706000000000000E+08;5.454711527845616E-01;-6.594121982402814E+01;-5.264564242218692E+00;-6.594121982402814E+01;
1.712000000000000E+08;5.421777856255724E-01;-6.968330490582389E+01;-5.317165610354961E+00;-6.968330490582389E+01;
1.718000000000000E+08;5.382276454125523E-01;-7.319010011227924E+01;-5.380679979762906E+00;-7.319010011227924E+01;
1.724000000000000E+08;5.360917421416408E-01;-7.638334094712812E+01;-5.415217650306002E+00;-7.638334094712812E+01;
1.730000000000000E+08;5.379405448554189E-01;-7.942363923406725E+01;-5.385314429723423E+00;-7.942363923406725E+01;
1.736000000000000E+08;5.441752998448455E-01;-8.258447881955804E+01;-5.285223495319817E+00;-8.258447881955804E+01;
1.742000000000000E+08;5.540309362684783E-01;-8.609673487232270E+01;-5.129319684652488E+00;-8.609673487232270E+01;
1.748000000000000E+08;5.653408714903200E-01;-9.009642702422390E+01;-4.953792319063419E+00;-9.009642702422390E+01;
1.754000000000000E+08;5.754612056501288E-01;-9.451885852455185E+01;-4.799678974653195E+00;-9.451885852455185E+01;
1.760000000000000E+08;5.823513424524376E-01;-9.917741809975981E+01;-4.696298380878393E+00;-9.917741809975981E+01;
